"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57"
"Mcc",194.34,6.3766363,10.2900904,55.7411,2.1034908,10.909192,239.53011,111.09092,299.8413,11.129035,15.874458,6.445779,3600.4401,10.764685,4.7835371,2.3981795,305.91468,17.813965,2.0953568,10.446735,76.180651,5.878536,83.848565,198.675,120.75438,16.9739,5.576263,56.295081,21.814926,394.67038,1147.16427,50.812666,6.275342,85.6467,456.82938,6.4680897,1.1982388,42.91031,44.870818,16.592515,34.681111,15.162602,227.15456,83.91788,24.30651,1.0663384,70.925469,17.030778,17.494187,4.3142821,41.880672,8.276408,19.641657,32.45957,4.6667702,4.6314622,100.27372
"Mccc1",1,0,0,0,0,0,5,2,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,1,4,0,0,46,0,0,0,1,0,0,17,0,0,0,0,122,1,0,0,0,0,0,0,0,0,130,0,0,30,0,2,0,0
"Mccc2",6,1,0,22,0,0,93,0,0,0,1,1,0,0,0,0,10,239,1,129,0,9,3,4,0,385,0,251,14,24,0,1,0,1,39,0,6,0,0,0,0,0,27,0,2,4,882,0,0,2,19,2,10,1,0,0,72
"Mcee",0,0,0,5,0,0,65,30,15,1,284,0,2,0,0,1,0,262,1,0,0,0,0,4,1,293,2,3,2,0,1007,1,14,29,3,240,1,0,2,231,2,50,17,4,704,1,2,201,1,8,76,0,4,168,102,1,44
"Mcemp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcf2l",0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2.29791,0,1,0,0,0,0,77,27,0,0,0,0,10,0,0,0,0,11,0,0,0,21
"Mcfd2",47,0,0,0,256.00001,2,1,0,0,0,0,0,0,0,0,0,0,0,1,89,190,3,0,11.999997,149.0003,0,0,0,1.999999,0,0,0,175,1,0,0,0,0,1,15,15,121,0,0,0,0,1,66,0,31,6,0,0,1,82,0,75
"Mchr1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcidas",2.05184,0,0,16.1933,4.30732,1.01387,1.03731,3.28375,0,0,9.32519,21.961,0,15.2824,11.0202,0,0,8.14197,0,31.1119,65.5013,1.01802,5.14441,0,7.24838,4.01938,0,1.01982,5.00575,3.05365,0,8.69474,0,0,0,0,2.91877,5.91334,2.20125,12.1027,2.0185,0,0,2.05878,0,0,7.4836,0,4.05208,0,2.06044,1.00832,0,0,0,4.21426,1.01242
"Mcl1",14,32,0,191,96,0,0,34,57,21,1,6,164,63,0,0,4,2,2,1,29,1,0,0,53,123,0,0,2,2,0,1.999997,249,28,0,97,1,1,3,105,0,0,10,53,0,158,80,34,19,88,1,0,210,12,0,171,87
"Mcm10",0,2.84318,0,1.07077,2.4216,0,50.9775,10.7229,3.91197,6.25849,0,0,0,8.10626,5.18795,0,0,2,0,0,0,1.1078,3.98867,4.21807,128.81815,2.86916,1.34398,0,0,0,2.23249,2.18965,2.1788,458.7613,0,0,73.4162,0,0,0,0,0,0,6.82833,2.71848,0,0,2.71885,2.04803,8.34196,1,0,0,0,3.76761,0,1.53422
"Mcm2",1,4,0,422,3,0,203,251,1046,13,183,5,6,1,1,3,268,65,9,1,20,0,0,255,365,26,242,9,11378,6,699,9,200,450,0,5,150,2,1,653,19,2,168,335,51,18,1,451,1,438,214,73,57,13,109,26,8
"Mcm3",0,394,2,251.143,1,0,309.914,103.211,1354,258.389,4.74666,2.37073,2088,122,426,0,2.44867,29.5902,0,0,142.947,0,159.996,22.0025,213.245,1.24012,6,2,1.1903,102.039,2.35147,2.48814,0,500,0,1,434.301,0,0,31.9615,4.96985,2.48211,171.772,81.0034,166.467,1.18943,313.533,207.027,389.889,189.21,31.6436,0,1168,304.16,6.71587,2.48218,440.571
"Mcm3ap",0,0,0,0,0,1,1,0,0,11,0,0,584,0,1,0,0,0,0,0,158,0,221,112,7,23,206,0,5,0,1,1,0,85,131,1,11,3,1,2,3,1714,1,0,117,0,0,1,3,0,5,0,10,0,82,1,2
"Mcm4",3,888,2,575,0,2,234,200,572.993,106,1,3,5,1,4,24,104,2,2,1,13,304,115,180,328,450,0,296,5,7,1,324,6,1000,1,1,141,0,3,216,48,2,2,877,288,4,754,90,442,77,261,4,235,122,2,9,93
"Mcm5",30.1614,1.02061,2.01349,0,2.02012,2.41639,581.739,662.311,24.9507,10.2969,12.0561,3.25964,4015.16,9.6723,5.05488,0,2.01139,9.83694,1.00624,2.10561,1.01168,8.11602,3.37935,1.03877,172.524,1.01668,1.27462,209.458,3.0287,3.19247,3.00161,285.031,75.4252,297.04,12.3787,2.19312,14.993,2.02651,3.41104,143.891,97.8624,5.06345,7.05414,159.768,4.32439,2.01745,3.16452,759.267,354.196,2.26806,32.2843,2.09826,523.336,146.895,4.05158,2.03756,139.777
"Mcm6",28,1,542,382.031,15,3,225,440.026,62,80,11,81,450.261,24,27,22,0,163.757,1.14615,3,0,0,19,24,20,0,1.18458,1,4,2,774.959,106,2,72,3,1109,395.0003,0,3,2,125,32.00003,2,849,5,2.27065,2,297,126,166,690,0,35,44,570.349,0,178.0004
"Mcm7",2.999995,2.000003,25,11.85982,4.7195449,0,206.957,731.879,249.08687,0,26.48,0,0,1.19385,21.00003,25.70490442,3095.00226,10.99999,3.66,2,1.87222,27.33552,929,219.70808,1287.00459,2,1,5.1821854,0,9.000003,2.000002,1,5.00445,28.0264,0,45.6457,24.637584,3.937867,7,183.99977,14.96652,1,2.619199,179.059,6.2057,5.06228,2.853663,9.8085,363.86414,681.93717127311,406.266,28.8487,644.569,426.294,3,3.04909,139.00021
"Mcm8",0,0,0,7.21985,2.14343,0,4.02321,1.00418,2.18912,6.11249,0,11.3975,0,1,0,1.06009,0,1.00484,0,3.19953,0,0,2,0,0,0,48.5165,0,0,12.9239,0,0,0,4,9.67565,0,3,0,0,1.07957,1.46392,0,1.04714,2.08255,0,0,0,5.27535,15,36.0598,40.47099,1.13555,3.66962,5.04241,0,0,24
"Mcm9",0,122,0,0,0,0,0,98,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,109,0,0,0,0,0,0
"Mcmbp",4,462,151,486.9997,76,4.59221,405.222,97.1818,455.031,1122,3.07055,79,9,350,108,1,39,28.1668,2.01243,2,54,40.1945,316.831,693.00027,444,36,4.08945,107,6.06749,484.21,7,449,132.231,434.91,180,1,420.518,4.06322,139,93,927.647,2.1686,31,173,63.2176,3,446,352,326.729,193,80,3.03459,276,368,190,5,113.77
"Mcmdc2",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,1,13,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1.03695,1,1,1,3,0,0,0,0,9,0,0,1,0,0,0,1,0,3
"Mcoln1",0,0,1,132.99988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,66,0,1,0,0,0,0,0,0,0,172,0,0,5,1,0,0,0,0,0,3,0,0,1
"Mcoln2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcoln3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcph1",124.01317,0,0,2.00301,0,6.00243,17.03039,38.4878,0,8.85499,40.1297,9.00821,2.01399,11.0054,13.7181,5.00693,9.00224,4.00703,0,15.4852,0,19.0562,16.028,9.17903,6.5607,0,52.116,13.7535,3.00095,12.024,60.4003,3.660125,32.0069,0,5.007032,5.12647,687.7955,0,34.2444,2.203684,173.7338,2.22349,4.12819,0,196.467,1,2.13566,590.808,241.821,80.7626,7.00462,3.00872,0,2.00233,0,12.05081,52.4383
"Mcpt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcpt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcpt8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcpt9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcrs1",91,1,0,562,299,0,27,200,17.00003,4,3,3,2310.997,21,40,1,198,692,2,1,1,5,3,161.9997,21,2,31,1,5,4,43,1,76,192.999751,27.00003979,6,3,4,157.9995,69,2027,2,131.00000768452,69.000038,31,839,2,129,55,4,6,0,156.99983,46,428,3,7
"Mctp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mctp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcts1",0,0,89.8256,41.78,0,0,4,3.45562,7.22084,0,0,0,0,216.584,0,8.13433,390.493,200.537,1.90674,0,0,16.9094,0,129.808,81.3846,0,0,1.8314,0,2,0,0,0,18.2607,0,2,0,191.678,0,0,0,0,2,0,0,0,0,0,0,0,11.2884,26,60,54.9407,0,0,0
"Mcts2",0,0,0,77,21,0,3,3,0,0,0,0,0,0,0,0,375,1,0,0,0,0,56,3,0,0,1,0,0,0,0,0,0,7,30,1,3,0,98,0,0,0,232,1,0,0,0,0,155,0,0,0,30,90,1,0,1
"Mcu",0,3,791,290,1,0,1,58,96,0,1,7,23.00005,0,2,1,11,621,2,1,1,2,2,1,131,1,1,1,45,0,521,53,1,119,0,0,74,0,246,1,1,38,0,1,2,4,0,0,0,0,38,0,5,78,0,0,1
"Mcur1",122,0,0,3,3,0,1,8,0,0,2,0,3,0,127,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,183,0,0,0,0,0,0,0,0,72,264,1,0,1,0,314,10,0,0,0,1,0,3,0
"Mdc1",7.7055,2.60466,4.28845,11.832675,5.27001,1.22455,3.29343,210.572,188.759,9.95567,5.1188,36.0162,0,2.26847,15.6617,0,10.1568,75.3678,1.0191,0,1.33643,68.2323,11.4044,7.45912,0,46.9334,11.4831,7.62622,1.14147,22.6583,2.00773,100.712,21.8716,194.874,303.274,2.17932,2.45052,7.09988,17.80816,6.27632,218.731,1.24675,17.9726,93.1642,9.73898,1.02387,23.9678,27.4879,233.49,6.721,79.6117,7.15295,182.38,60.6596,1.1319,0,49.2597
"Mdfi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mdfic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000001,0,234.285043,0,1,0,0,0,20,0,0
"Mdga1",0,2.00234,0,1.05006,1.00979,0,0,67.8159,1.00033,3.07049,0,2.06467,1.00054,0,0,1.00101,0,0,0,1.02487,0,0,2.08308,5.03664,1.00667,0,0,0,0,0,0,1.06896,1.00318,1.0522,0,0,0,1.04794,1.02865,1.04128,1.04722,0,0,1.06088,1.00024,0,6.31455,2.01126,10.6486,6.10306,0,1.05182,1.04399,0,0,0,0
"Mdga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mdh1",2005.996,1710.0038,1009,5229.002,496.9996,229,1630,2354.001,2435.997,146.1973,2561.835,56.99995,1527.621,684.9996,429,1942.997,4323.001,8808.996,223,122,217,260.99969,22.99998,5463.295,3132,48,176.9998,4030.676,1451,58.99998,5808.31,72,1461.0006,4624,3353.532,18.00091,1464.002,803.9131,1776,3253.003,588,176.0003,4843.012,1039,2810.039,826.99997,175,3564,1762.002,1186.0031,3194.535,754.9996,2553.001,2175,136,348.9996,2078.72
"Mdh1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mdh2",1220,7.53384,849.27,4059.56,1081,15.1168,1798,2062,3005,3.72955,1389,158.995,249,915.439,3.7653,3.76063,630,1529,0.000315449,1234,18.9097,33.9461,57,2287,3585,430,18.7245,1809.23,26.6024,7.53142,4815,366,1836,1019.48,1706.39,3.81576,168,7.51582,661,1332,3.77545,1116,4803.82,493.76,3.70663,2317.18,116,2035,1169,1159.8,1984.62,0,1389,2249,352.044,531.187,1113.67
"Mdk",532.9998307,37.000031,1128.00044,103.99986,317.99975,6,434.0002,820.0004,613,19.999986,678.00077,559.0005,9,112,76.00004,102.00001,206.9997,3203.998,2819.99764,461,10.000004,26.000025,140.99982,1210.003,1418.9952,228,523.99999,1483.9971,4464.99143,37.00002,5,521.9998,701.0003,593.99995,788.99978,47,890,68.00004,61.00003,732.9998,1820,14.999951,805.99564,512,844.00001,430.0001,694.9902,925.9999,583.9996,203,34,611,2665.9977,1028.0002,902.0004,88,331.99967
"Mdm1",0,0,0,72.000000295671,0,0,109.000000121266,13.00000175278,0,0,0,31.0000118224,0,1.000000122588,0,1,0,0,0,0,0,0,0,69,0,0,0,13.0000000103394,1.0000000989729,30.00000273416,0,0,23.00000227222,8,0,0,0,0,0,0,0,1.0000000580694,1.000000396422,0,0,0,0,9.000000528381,19.0000000100821,63.0000000196021,1.000000359686,0,13,0,0,0,0
"Mdm2",0,0,0,0,0,0,0,0,0,0,0,32.7252,0,18.29530235749,0,0,0,61.1407,0,42.3979,0,0,0,0,0,0,36.8253164308,9.13287107717,0,0,2.2551200216464,0,0,9.126050908449,0,18.56540183117,12.50210171608,0,0,9.131330759279,0,0,0,0,0,0,0,0,0.0209704,0,2.68188101127,0,0,10.120500730673,9.249790822489,0,72.987233952
"Mdm4",50.4274,9,1,356.06336,6,4.999999,109.62138,266.32045,1207.22,308.2848,2,1675.98,3,9.27786,11,0,27.0007,6.2072793,6,113.93,3,2.328927,116.67335,51.7363,106.076,3.85954,7.607672,49.21503,5.7648,8.00258,3073.51,3.00217,110.97057,655.609,49.8843,2,19.65846,2.06588,8.860079,97.438,60.25286,2,132.508,2.11387,3.3384,43.5653,10.22867,611.82727,160.37067,298.86099,20.000334,401.616,27.81303,36.6297,86.897,4,9.85798
"Mdn1",0,0,0,1.999995,158.3871,56.6718,101.57100370203,1,1.020874,47.3575,605.898,1.106465,2.039135,179.306233872,9.63054,1,1.020786,0,1.139842,125,1.022784,146,17.00003,0,163.9995,130,37,124.6021,0,0,0,0,368.683,0,380.092,12.28024,131,192.9998,28.7835703,11.23453,5.53387,249.96538,38.53999,15.44629,46.9959,5.11471,31,0,130.919,159.0004,2.042658,17.99998,0,11,1,0,69
"Mdp1",6,1,2,373,2.5441,3.29883,244,4.46761,52,2.80349,7,20.9385,3,540,3,0,13,1,1,1,0,1,2,67,48,1,3,107,4,3.28696,497,13,210,330,94,10,928.985,4.37459,76,99.8153,4.16436,2.02709,149,37.9798,4,0,35,38.7673,91,13.011,2.32536,5.66576,48,35,39,28,149
"Me1",0,1,1.999997,343,31,1,381,40.28601,119,1,0,9,14,2,1.999998,9,0,32,1,1,242.9997,29.3101,2.000003,8.32769,24,0,1.999996,0,1,176,75,2.000004,0,127,0,118,2.090003,14,0,90.9676,5.23152,30.81385,9,260,549,0,8,5.54299,1.383626,0,0,0,0,14,12,412,41
"Me2",138,16,0,22,2,1,144,7,217,242,0,1,2,0,1,30,293,185,0,1,1,1,0,92,110,0,428,180,1,0,127,3,26,122,0,2,8,33,186,250,0,2,1,2,0,0,0,7,62,6,1,1,170,100,565,0,94
"Me3",0,0,0,0,0,0.67883,0,0,4.36172,3.02618,0,0,0,0,0,0,1.52228,6.26921,0,0,0,0,0,0,0,0,0,0,5.0136,0,0,0,0,0,0,5.19271,0,0,2.00709,3.07764,0,0,0,0,0,1.00596,0,0,0,0,0,0,0,0,2.06013,0,0
"Mea1",5.30811,1,1,390.972,50.1347,3,114.981,26.9822,253.966,2,4.07641,10.7881,35.9251,53.0004,7.94003,3,1.42148,171,4,8,2,1.67297,4.95053,174.79,456.978,3,3,72.9935,5,3.93783,1043.91,4.95004,164.74,260.642,31,6.77163,9,382,194,43,12.6037,181.745,116,18,29,1457.98,16,324.975,4,91.9765,134.884,2.91707,95.9242,24.5328,1309.95,9.72836,64
"Meaf6",1.25407,0,0,73.07838,8.58566,4.04412,21.26734,58.221,291.0508,17.3069,2.01464,0,0,5.15543,1.47686,46.25112,73.6151,4.464789,0,3.287453,441.669,53.0765,1.02075,16.5714,4.75469,20.5091,1,17.02165,0,1,1.00066,2,30.12014,60.7954,57.5576,0,130.491,12.2705,1.26277,19.67741,834.522,1,66.0228,0,0,1,0,13.07489,13.3989,31.0014,71.9681,1.41503,37.37123,0,2,61.48719,68.398
"Mecom",0,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64.00004,0,0,0,0,0,0,0,0
"Mecp2",1,1,0,37,6,0,58,0,1141,4,1,40.99998,3,2,1,0,7,7,1,2,1,0,0,23,6,0,0,0,4,3,1123,16,3,2,3,3,0,1,4,27,17.00002,0,18.00002,8,29,2,3,0,17,62,1,0,176,84.99999411439,8,0,6
"Mecr",0,1422.46983,0,99,3.0453,0,150,89,364,1.67746,0,0,1694.12,82.8844,0,0,0,1.53601,0,0,0,0,0,5.37899,108,0,0,0,0,0,70.5941,0,0,0,210.529,0,2.51934,0,18,95,1,0,0,0,0,0,0,0,0,4.3514,99,0,82,0,0,0,15.85389
"Med1",4,80,343.99978,135,27.99999,79.04153,198.0003,7,422.0005,69.4084,9,1,2.17172,80.08956,6.18801,11,8,158.169,20,7,0,564.9997,208.0002,65.1318,239.9641,1,48.72618,287.16,16,5,4,10.621,9,76.00005,1642.325,10,5.30111,4,64,197.3857,25.2679,6,48.87626,13,2.11756,324.60908,7,51.69984,101.1536,81.8003,306.9815,4.1819,338.9996,85.70652,4.999996,3,9.27051
"Med10",0,1,0,158,81,1,65,75,5,1,1,4,1,57,1,1,135,4,570,0,2,2,1,156,516,0,2,69,2,2,0,0,125,252,356,0,1,0,98,129,1,0,0,12,0,2,0,20,10,0,105,0,189,80,39,7,3
"Med11",0,0,0,109,89,0,0.409427,0,0,2,0,0,1,0,0,1,2,0,0,0,0,1,0,0,40,0,1,0,0,0,943,1,0,6,318,1,0,0,1,0,0,0,72,0,7,0,0,1,1.999998,0,0,0,7,0,121,0,2
"Med12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.664514672,136.00047415,2.0959736902,0,0,0,0,191.767000071831,0,0,4.0000034902,0,0,0,0,10.000001557,0,0,0,10,0,0,0,0,0,34.5770900440594,3.0000043633,3.547013114,0,0,0,0,0,0
"Med12l",0,0,0,0,17.004552381,1.999997525,0,6.002027439,14.999961405,0,0,0,0,14.999990001,0,141,1,338.000000054635,0.9999995589,15.012511939,0.000395965,0.010323265821,0,89.00004682,0,261.99957999,0,34.0021436,1.0000004041,0,0,0,0,2.000004581,0,0,0.9999995173,0,29.999965628,40,3.0000027252,0,2.000797354,0,0,0,0,28.999971889,221.05555435,107,200.00041115,0.00035778,22.466333916,0,7.6503028,0,0
"Med13",0,127,114,54,2,97,56.0119,10,0,20,3,9.52916,1,2,1,17,89,319.5,1,0,1,276,1,169,60.8178,13.5023,187,159,13,0,2,0,2,12.6722,32,0,1,0,16,0,2,139,176.101,129.493,2,683,36,304,1,41,8,1,174,263.121,55,0,160
"Med13l",91,2,0,33,129,75,35,111,90,76,202,190,270,14,1,0,0,111,3,127,177,23,290,135,136,36,78,164,2,4,64,0,153,191,620,27,1,65,65,32,1018,2,38,0,0,0,10,145,276,229,40,0,86,121,8,82,42
"Med14",0,1,0,245,131.60922,22,5,5,22,1,1,0,528.00002,102.84324,12,1,34,136.898,4,23,68,8,1,3,211,2,1,92,14.99997,73.7185,1.14307,2,287,34,65,0,95,2,0,23,61,0,97.99996,7.47773,48,1,534.46183,21,0,24,240.0001,2,61.4466,8,29,13,131.373
"Med15",0,0,0,1,27,0,5,123,0,105.931,0,0,0,18,0,27,2,51,0,274,463,1,0,70,5,0,0,9,0,0,4,2,77,55,2,1,1,0,0,92.000000242225,46,1,4,1,2,0,0,28,290,79,2,3,54,8,1,0,72
"Med16",178.326,8.99656,8.07118,43.18537,4.40752,0,274.4525,105.883,33.0753,1.00094,28.6548,2.66279,0,276.716055,10.12726,8.2024,1.00091,3.92229,1.16568,480.12227,5.93476,5.67946,13.73662,137.3282,1.35727,10.6716,12.24074,479.0409,4.31283,27.7947,1.04667,5.6632300291391,0,1.43806,2.4746,8.82022,3.70726,5.0966,135.5505,470.55519,101.474,2.7377,553.78443,0,11.871,80.63997,33.3026,251.7907,1.00083,21.37855,3.001,15.25062,0,33.5832,135.086,25.4255,1.58841
"Med17",0,0,0,9,0,0,4,2,299,0,0,1,1,1,8,42,0,4,0,0,81,0,0,0,30,0,7,4,0,0,0,1,0,24,24,0,0,0,0,1,0,0,10,60,0,27,0,0,5,18,0,0,16,15,5,0,1
"Med18",7.63516,5.38297,43.3006,37.4443,2.62056,1.30658,5.72781,8.65059,3.01674,5.6791,6.05675,1.27522,2079.04,7.70763,3.76732,0,4.06039,14.8697,5.10658,1.2862,3.27837,4.33485,8.35125,36.2642,54.2191,1.35303,28.4585,9.14625,9.54279,3.76969,0,12.9922,14.2705,3.09202,7.86109,2.16249,1.93713,6.32192,4.47873,62.7064,24.479,4.78993,13.1839,33.7521,81.2422,1.02991,30.5929,21.648,12.8561,3.27551,7.51246,0,16.5097,16.6927,5.22769,5.25945,14.1358
"Med19",0,1.48319,1,50.5692,18.9961,0,27.5979,0,29,78,0,629.59,17,0,0,278.858,737.617,18,1.51692,171,0.2807,38,20.7483,110.725,17,7.53254,1.47827,432.614,0,1.48292,407,20,89.1623,8.75908,2.6474,2.99155,1.47096,137.377,2.85805,0,0,654.11,94.5479,1.01849,4,0,0,2.44423,2,14.5372,90.5919,1.85796,4.16797,7,0,1.48342,36.4869
"Med20",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,409,1,0,0,0,2,0.478191,0,0,0,1,0,0,0,0,20,27,0,115.721,1,1,0,139,0,0,0,1,0,10.3555,0,0,0,0,0,0,0,0,232.896,0,0,0
"Med21",0,1000.92,1.03598,153.007,80.8399,0,126.3,48.4113,0,0,0,0,0,209.501,0,0,0,293.525,2,1,0,0.596189,0,9.02488,0,0,0,8.43033,1.95818,0,0,0,150.046,65.7144,63.3525,0,0,30,176.576,74.5233,0,0,0,0,0,0,0,254.32,0,6.8089,202.603,0,87.7265,0,53.7164,0,0
"Med22",0,0,0,0,0,0,0,99,0,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,134,0,0,0,1,0,0,0,0,86,1,0,0,0,0,196.0002,0,0,165.9999,0,0,0,1,8,8,0,0,0,0,15,6,0,1
"Med23",1,0,0,0,147.7021,0,210.8609,0,1,1,25,0,5,29.00002,2,0,2,0,2,0,0,0,1,0,11,0,168.0308,465.99,4,1,0,177,371.469,19.1069,1,0,0,1,0,0,0,0,0,373.509,0,1,0,0,0,75.7661,0,0,3,1.21623,225,0,4
"Med24",3,52,0,3,1,0,146.231,0,0,57.8922,0,0,0,0,0,4,0,0,2.4862,0,0,0,38.0107,0,74.2461,0,0,0,0,0,1.99999,1,3.64908,336,7.30371,0,0,0,212.534,0,0,2.22633,315.119,1,1.21926,0,0,0,88.5563,2.42498,1,0,193.815,186.795,895.684,3.38664,102.266
"Med25",0,0,0,0,45,1,2,0,41,0,0,0,654,0,1,0,115,28,0,0,0,0,1,0,1,0,0,0,0,0,19,1.00903,0,3,0,1,0,0,36,0,0,0,0,0,0,0,0,1,0,54,115.622,0,23,0,1,0,3
"Med26",0,0,0,0,69,0,0,5,1,0,0,0,0,0,0,0,1,465,0,0,0,0,0,0,0,0,0,390,8,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,2,1,0,67,0,0,0,0,0,0,0,0,0
"Med27",0,11.3835,0,1.12415,4.12421,7.74708,0,63.15404,3,6.26267,0,0,0,0,0,0,3,464,1.001,0,0,0,4,20.9171,138.85206,0,3.0223924,23.56787,1,0,0,1,0,34,0,0,1,0,0,82.34995,0,6.59754,0.320929,0,1.999997,0,3.04524,9.64366,0,87.99998,0,0,54.24039,5.00906,0,0,65.40767
"Med28",1,0,0,104.20192599,3,0,61.8488,33.62082,369.0302,1,0,0,72.7013,74.5465,0,0,17,19.918143301,0,1,0,0,29.1392,230.4334,10.6492,2,3,167.85330034822,1,0,146.7635,1,80.78299,144.18783,91.0568,1,421.0004,0,5.14075,29.35792,0,0,71.2546,178.1256,0,0,0,140.0786,168.4514,6.2422,10.19603,1,169.1918,188.2938,463.69,1,69.4846
"Med29",36,0,0,205,84,0,161,127,2,1,0,0,531,218,1,4,0,134,2,2,2,43,1,300,148,0,1,32,2,0,0,0,82,291,290,2,0,0,36,19,4,2,175,308,1,40,1,45,183,78,240,0,15,104,299,86,106
"Med30",0,0,0,6,3,0,84,0,8,0,0,0,3,1,0,0,0,1,0,0,0,0,16,72,15,0,2,0,1,0,0,0,0,0,0,1,0,1,20,0,0,0,1,0,0,0,0,1,0,0,1,1,56,48,706,0,0
