"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59"
"Dhrs13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999831,0,1.00000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dhrs2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Dhrs3",0,0,2,1.69443,76,153.0832,0,4.000003,434.85106,68,1052,1,1,3.0000019218,0,2.45933,1,0,1223.684,260.7968,3,0,0,1,1,0,1.180456,291.1708,795.891,188.1407,0,1,1,1,0,0,1,0,0,0,262,0,23,1,2.999998,2.43104,0,668.7331,1238.853,0,1,2,0,0,2,72,123.0462,0.472679,0
"Dhrs4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,72,0,1,0,10,0,0,0,0,0,0,0,59,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Dhrs7",1,0,0,3,0,20,0,0,619,0,0,2,408,0,4,227,3,0,0,910,0,0,0,0,34,0,0,0,0,196,1,98,0,19,0,2,0,12,0,0,0,1,0,2,0,0,0,0,3,0,0,0,2,0,704,0,0,1,139
"Dhrs7b",56.3591,14.6758,4.49073,10.0604,21.295,7.84465,224.8213,1.28623,3.16853,13.967,4.91569,28.9111,15.3623,0,9.54559,5.54343,6.73815,13.3153,0,16.715,8.80292,17.465649,4.94824,9.50097,27.5852,4.57483,7.92424,4.10171,2.62385,31.9079,7.15102,7.39807,7.57448,23.244,7.39341,12.9773,1.12513,10.3555,7.39698,5.23412,8.60465,22.574,2.35538,4.68166,3.33281,8.7854,5.25987,42.8677,2.80221,38.2082,5.64934,8.93899,1.49887,8.39967,7.42727,7.85312,12.4762,0,18.9835
"Dhrs7c",0,0,0,1798.53,0,0,207,0,0,1,484.424,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,505.435,0,0,0,0,0,0,0,0,0,249.139,0,0,0,2,0,3,0,0,0,0,0,0,0,3.81665,0,0,0,1684.24,0,0,0
"Dhrs9",0,7.74238,1,0,0,2,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1.09718,0,0,0,2,0,0,3,11.5586,0,0,1,0,0,7.83976,1,0,0,0,0,5,0,0,3,0,0
"DHRSX",1,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0
"Dhtkd1",0,19.8833,2.7708,6.16607,6.22486,10.0847,13.4541,0,409.469,7.2892,1.12464,1.21899,15.7294,1.15248,2.69156,0,0,28.4032,18.2662,11.4474,3.82182,1.24434,5.14189,0,21.9662,3.00446,2.45449,0,24.7449,29.2328,0,2.15156,1.25224,1.13002,3.13254,15.9462,0,10.1937,3.69744,5.77819,17.8218,44.3056,12.3298,2.37486,2.07054,4.25725,7.10078,4.54436,2.71069,12.8101,4.08546,2.05256,48.11,3.4313,3.7148,0,42.0685,1.16916,6.18084
"Dhx15",0,16,1,65,1,493,61,2,0,11,0,1040,352,2,6,1,1,159,0,5,238,5,251,1,46,97,2,1,40,38,2,415,3,4,1,4,1,23,1256,3,0,148,1,1,5,111,209,1,3,1,1,0,8,242,31,4,812,1,5
"Dhx16",0,0,1,0,0,0,2.009703,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,142.2465,0,0,0,0,0,0,0,64,0,0,2,0,1.33771,0,0,908.357,0,0,0,0,0,0,2,0,0,0,0,0
"Dhx29",0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,2,0,15,1,1,0,0,3,4,0,0,1,3,0,0,0,1,0,0,334,1,0,1,0,8,1,0
"Dhx30",128.99981,59.00005,49,0,265,2,0,1,1,3,1,845,48,0,1,0,1,3,0,1,1,343,0,5,39,11,0,103,784.00016912,81,0,3,15.99998,0,0,61,0,43,3,0,27,12.00002,0,0,1,66,25,10,1,0,0,0,1,0,2087,2,0,3,3
"Dhx32",0,0,0,0,0,325.18185,21.2997,0,0,0,0,45.99997,0,1,19.99998,14.6814,0,0,8,0,0,0,0,0,0,0,0,5.0000001,59.99998,12,0,0,0,0,0,0,0,8.03918,0,0,0,4.01668,0,0,0,1,0,0,0,0,0,2121.097,0,3.99144,0,0,20.00003,1,4.01952
"Dhx33",2,8,3,9,0,1,0,1,1,0,26,272,0,0,0,0,0,59.6604,0,8,0,0,0,0,2,0,74.0688,0,0,15,0,0,4,1,3,5,1,5,0,10,2.2317,282,2,2,0,2,2,1,1,548,0,2,0,0,0,1,0,3,0
"Dhx34",0,7.51707,0,0,0,0,41.4952,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.27,0,61,0,0,0,0,0,0,0,0
"Dhx35",0,0,0,0,0,0,132.999000016394,2.99997,0,3.99999,0,0,0,0.999996,0,0,0,0,0,0,0,0,0,11.8414,0,0,0,0,0,0.999995,0.999998,0,0,0,0,0,0,0.999998,0,0.999997,0,0.999996,0,0,0,351.320000076342,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dhx36",1,0,2.21416,0,0,1,202.993,0,0,47.7007,0,303,0,1,1,322,0,2,38,60,1,0,136,1,4,0,1722.76,13,106,1,5,686.023,0,96.1983,2,0,3,359,5,2,128.358,607.989,22,1,158,2,150.884,1,1,0,0,0,46,0,0,0,7,1,410.899
"Dhx37",2.15266,2.15944,1.05091,1.31581,0,0,2.14704,0,2.13705,2.45754,1.04762,2.24325,4.59228,0,0,4.28569,10.6343,8.608,3.15454,5.49856,0,0,0,0,4.01463,1.29189,0,0,0,4.26508,0,0,0,8.85588,0,0,0,2.18652,0,2.15779,0,28.6332,1.07181,0,0,3.16107,0,1.07787,0,9.20935,0,0,1.13422,1.51234,1.08064,0,69.8027,0,0
"Dhx38",11,1,681,7,3,717,1,0,17,13,0,17,136,14,1,0,0,5,2,9,4,7,0,4,1,0,9,0,3,0,0,4,0,2,0,0,1,41,0,0,0,0,1,0,0,1,0,262,0,0,0,0,2,0,1,1,48,0,1
"Dhx40",1141,2.90058,24,7,0,3.20812,1.25271,0,1,14.312,1,2,0,0,3,1,37,1532.0018,1073,1,7.01547,0,1,0,24.135,115.956,12,0,0,0,1,1,1,3,0,16.0519,0,24.0731,0,0,144.607,10.0702,2,0,0,1.48135,0,3.04119,0,1,1,0,0,1,1.16474,1,15.1773,0,1
"Dhx57",0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,2.02012,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,0
"Dhx58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dhx8",1,2,0,3.76257,5,2.0599,8.15209,2,0,7.33581,1,0,24.3833,2,2.03677,1,1.34967,2216.33,2,3.90503,1.01253,1,4.31074,2,0,3.03839,0,40.909,1,0,0,0,4.9819,4,2.21199,51.9088,0,67.067,1,27.5825,2.2766,79.8986,0,1,1,2,0,14.6268,0,2.8355,0,1,1,0,1.00039,3,18.5559,0,1.00166
"Dhx9",0,176.272,0,0.99999984255,1.00000026358,8.68833,1.82798,0,0,17.0000420608,101.000197783,3.00000239479,0,1.59689391286,0,0,0,0,6.92870202429,3.000000681969,46.999976725,1.19475,4.08838,0.99999976178,0,9.99999565703,3.76049,35.9999683911,0,2.34762866082,0,0,4.01528,3.42427332141,130,4.99974506856,3,620,1.71739286818,2.9039,9.878879,111.341,1.0000003383,0.99999980503,62.687,0,0,0,9.58244,43.32817,1.00673026237,1.30097e-08,95.5763,0,138,0,18.9999800448,12,2
"Diablo",1,0,1,0,9,712,2,0,304.336,1,0,0,1,5,3,0,1.999996,4,2,10,0,1,1547.997509,1,14.99998,0,228.00025,0,2,26.000001,21,7,0,107,551,0,1,0,1,0,5.999998,187.686,792,0,2.67577,0,39,13,0,1248.97374,4.62286,3,0,0,0,0,0,0,221.99986
"Diaph1",0,0,0,0,0,0,2,0,0,5.000005,1,311.417,19,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,32,0,0,0,0,0,0,0,0,2,0,0,0,326.1899,0,2,1,0,0,90,0,0
"Diaph2",7.17513,8.34044,49.5446,32.0041,6.27111,5.42411,24.3413,1.06119,2.17061,12.5651,0,17.6261,8.45065,3.1285,30.7208,5.55128,4.00362,19.1942,12.7374,6.23406,579.73712,1.59437,2.49111,9.05558,659.802,1.12813,85.09828,108.7964,5.08119,25.0684,3.0342,1.44837,3.04237,228.3071,4.47273,46.6248,3.00056,8.38239,5.22441,3.7367,9.3517,264.5921,6.62061,3.28627,0,2.73747,3.56518,15.2066,1,29.1338,34.3524,10.2989,149.3125,12.6398,17.5846,7.721916,81.7355,2.00006,90.7899
"Diaph3",0,0,6.00025,2.00029,2,2.03081,3.00303,1,1.00065,65.9552,3.06868,41.7586,30.00678,1,0,2.00035,33.09054,2.03381,1.002,0,14.0807,0,0,1,969.6833,2,0,0,1,119.0861,1,0,5.00027,156.207,156.00033,2,0,1,0,0,1.00316,150.0963,7.12526,3,2,0,12.0796,9.02485,3.00036,0,2.00112,0,1,0,3.03074,1,25.0112,0,3
"Dicer1",8.00312,0,1.00015,2.00041,6.00632,60.8832,0,33,0,0,0,21.0082,4.0407,12.01,0,8.01454,0,5.00378,27.0142,228.143,4.00101,8,5.00117,0,1.01498,0,1.00035,2.09306,1.00032,1.00032,6.009,0,1.04519,0,1.04386,13.0873,22.0072,5.00116,2.00013,0,1.0145,0,2.0026,0,17.005,2.11888,63.1178,0,1.00015,0,156.313,3.00433,0,0,7.06722,0,7.50606,0,3.05557
"Dido1",13.5104,43.0054,55.3421,19.2865,70.0103,32.5217,12.4764,11.9811,525.6337,19.42068,7.96183,30.9925,263.5737,21.1809,8.27026,9.54768,22.2456,315.2704,10.2579,41.8889,16.538,30.2722,444.62,15.1667,14.7592,505.94619,8.54862,28.261,13.8759,88.6932,30.6932,28.7039,14.7346,84.8858,15.5047,14.2718,7.45445,14.962,9.1839,28.73093,39.8289,503.073,11.78237,19.1789,10.35287,1352.09764,27.3196,11.385,10.1967,32.9915954,13.1648,10.5992,23.0406997,22.1397,21.363,6.4292715,15.2682,16.7569,20.4045
"Diexf",0,0,0,0,0,4.08781e-06,0,6.33183e-06,0,0,0,0,0,3.14096e-06,1.15365e-05,0.000172018,0,0,0,0,0,0,0,0,0,0,0,0,6.72149e-06,1.92347e-05,0,0,0,0,52.9952,0,0,0,0,0,0,0,0,3.23807e-06,2.05763e-06,160.993,0,0,0,0,0,0,0,0,0,0,0,1.88593e-06,3.25398
"Dimt1",0,139,0,0,0,150,4.43683,0,0,1.49743,0,336.984,0,0,0,74,0,0,0,0,0,0,0,0,149,47,0,117,0,0,6,0,0,0,0,4,0,47,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Dio1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dio2",224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"Dio3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dip2a",0,0,0,2.69013,0,0,87,0,0,0,0,0,28.23164387,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,352.60603208,0,1.0000003417,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8597775227,0,0,0,0,0,0,0,0
"Dip2b",6.00219,257.616,5.00011,1.00024,8.00078,20.1452,631.116,0,9.14777,94.9391,1.28907,383.8398,381.491,53.0986,16.0162,20.0077,7.0126,3940.601,375.399,10.1359,15.8641,3.00018,1.00049,13.15847,83.4717,7.00319,1096.17,277.039,7.14849,565.7555,3.0003,21.8519,6.51173,973.059,11.0067,1.02223,12,15.5093,10.4345,202.035,7.20051,1354.8725,57.0231,3.00008,13.192,3.00255,1.12664,108.697,2948.38,15.2866,4.16591,2.00005,16.0067,7.73964,13.2628,11.0018,723.168,5.0012,14.0805
"Dip2c",1,296,34,29,3,800,99,0,1,1,13,3,28,4,1,1,1,2,7,132.00023077,16,1,5,0,73,4,0,18,2,5,33,82.000035,1,0,16,1323,28,98,7,2,1,151,57,3,72.00003376,87,0,14.000038061,0,0,2,80,0,2,1,1,54.99998409,1175,2
"Diras1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diras2",3.0186,0,1.0015,0,0,18.3496,0,0,1.00689,32.2933,0,0,1.01444,0,0,2.01685,0,1.01327,1.0065,2.03664,0,0,0,1.17759,0,0,1.00537,0,0,1.05362,0,91.8147,0,1.00895,0,15.0678,0,4.02591,0,0,0,1.05177,0,0,0,0,0,4.03333,0,19.2525,0,1.00015,0,0,0,0,0,0,0
"Dirc2",1,6,0,0,0,0,174.226,0,0,11,0,1.00065,0,0,34,0,0,6.02395,7,0,0,40.6712,0,27,0,95.0977,2.87134,2,0,25.9059,118,0,121,0,8.70709,0,0,4,1,10.0029,2.00477,2,0,9,1,4,43.287,11.5381,0,24,8.68215,0,0,1.44208,0,21,25.0272,1,1
"Dis3",0,326,0,0,0,0,1,0,2,1,0,75,0,0,0,0,0,0,0,214,0,0,0,0,158,238,1,0,4,1,0,0,1,1,322.932,1,0,0,0,7,0,0,0,2,0,0,1,1,7,8,3,1460,30,1,28,3,0,5,1
"Dis3l",0,1.0000000904,0,0,1.1277110286,24.49382374,2.999997795,0,0,8.214503463,0,0.9999996435,0,0,2.136951407,0,5.000000836,1.0459130125,0,0,0,1.000000379,1,0,53,0,0.999999567,0,0,0,0,0,0,0,0,0,0,0,1,0,1.1882790267,7.128749707,0,0,0,0,451.9997346,1.0730843327,1,3.167784153,0.9999996342,0,0,1,0,69.99995887,3.330610908,0,65
"Dis3l2",0,21.0449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06646,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62840448372,0,0,0,0,0
"Disc1",0,3.66425,13.47,0,0,20.2563,6.60891,0,3.66946,0,0,1.464,2.26219,1,2.68271,10.1225,3.1225,9.6561,1.56292,1.71665,0,0,0,0,8.32666,1.5996,0,8.10496,0,6.17925,1.99885,10.2658,1.00791,0,0,7.36991,0,3.49596,7.88505,2.93953,20.2937,22.8644,2.62772,8.20907,0,12.7665,6.44976,0,1.36634,11.0417,14.5445,2.00209,0,7.80402,0,0,0,1,2.68869e-06
"Disp1",0,0,1,0,0,276.083,0,0,0,0,13.04864,0,2.999996,1.3052,44,0,0,0,1,0,0,0,0,0,1,1.2495,828,0,0,0,0,0,0,0,0,45.6695,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Disp2",0,1.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05004,0,0,0,0,0,10.5494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.21,5,0,0,0,0,0,0,0,0
"Dixdc1",0,3.47331,0,0,0,2.73103,0,0,0,1.02903,0,0,1.05405,0,0,1,0,1.87364,0,19,0,0,1.09732,0,0,1.0026,0,0,26.66728,1,0,1.00579,0,2.33579,0,0,0,0,0,0,0,16.16554,5.014408,0,0,2.00873,0,22.5219,0,489.798,1.07662,0,1.00317,1.2745,0,0,0,0,6.22544
"Dkc1",14.8284,12.0672,1.05295,29.9417,2.51479,25.8682,34.1308,2.24911,6.08029,17.1527,2,25.0078,7.38531,1.24129,4.80269,9.08398,0,6.24433,8.55951,20.7463,27.775,2.00009,6.01776,16.1322,348.301,2.01154,0,2.21923,31.0446,3.0487,1.04163,3.18716,6.02523,450.889,0,73.0972,2.43478,1,3.7403,4.01613,47.5904,40.47449,20.304,5.11671,2.48965,180.65,6.19832,3.09044,0,21.5421,0,0,1.00359,21.3868,2.00064,0,135.161,3.0191,43.174
"Dkk1",0,40.1218,0,0,1.82576,24.6187,0,0,0,5.63096,0,0,1.99259,2.93138,2.80762,14.5486,1.30783,0,0,2.28364,3.12054,0,0,1.21538,7.03651,0.344468,2.75806,1.63215,36.4434,0,0,1.55454,0,3.82782,0,15.0276,0,21.8877,0,0,0,4.71317,0,0,0,4.31638,8.08307,8.4074,0,20.6042,3.93025,1.36519,2.21521,14.5811,0,0,266.564,0,0
"Dkk2",0,0,0,1.00061,1.00474,0,0,0,0,0,1.00092,4.33504,0,0,0,1.0023,0,0,26.0893,0,4.77727,0,0,0,2.37059,4.89442,1.0186,0,0,0,2.72131,0,1.02725,0,1.07044,2.70432,0,0,0,3.7876,3.19945,0,0,0,1.00061,1.00051,0,1.03412,0,2.08012,1.42963,0,4.0865,2.95105,5.34927,0,1.27304,0,4.6071
"Dkk3",1,1,0,0,0,99,3,3,0,0,0,0,6,0,2,4,1,14,0,128,0,7,36,2,0,4,12,0,0,0,1,489,3,0,1,11,0,49,0,1942,6,59,27,0,0,20,0,1,1,1,0,1,0,583,0,24,1,2,0
"Dkk4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dkkl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlat",1,331,0,82,0,10,74,0,0,137,207,0,0,0,0,160,0,2.35277,2,0,0,36,10.6939,1,56,420.371,0,88.7542,0,3,1,0,1,116.15,0,1,70,197.162,1,0,0,84.6328,75,0,14,0,0,0,0,1,0,0,0,0,0,579.861,1,1.10565,1
"Dlc1",945.130185355,47.9584,73.5803487223,7.07807,3.65318125945,61.1043091999,178.933313475,5.20428835219,156.8140898181,5.17845380109,117.0000671912,187.8130430783,77.1632938289,8.72888533197,2.34437,2.592045048106,4.00081264482,388.843,146.8040431878,391.1695216064,340.603163645,6,293.27133808,43.451261635,216.206173881,1.67647,194.585,57.6716,2.09528402048,280.27635109562,5.24438153882,54.3774990472,1304.051437504,18.94090528338,22.31580133961,211.472,4.89745,411.591136845,6.18952,6.16869275135,91.2469260809,320.912091134,3.11488759841,1.170430988647,4.064680962268,52.4077,235.3150394973,100.862,32.2465,295.329113665,30.0217019605,7.3918332469,30.3833252873,39.18264062489,19.5271011917,162.1730193791,188.115,222.592102199,139.8302
"Dld",23,9,3,437,41,55,39,7,1,13,153,2,1,12,56,1,1,27,2,13,37,8,10,2,6,3,860,183,11,6,7,18,7,2,45,13,427,209,12,3,4,15,74,14,46,856,1,2,131,770,3,22,2,0,0,615,34,0,1
"Dlec1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dleu7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg1",0,2,0,1.10689,0,258,7,0,22,1.13467,3.88971,27,116,2.21215,2,2,0,2.20404,77.9764,237,7,8.80584,0,10.4538,42,14,1.23716,0,113,165,4.53417,2.0191,0,1,2244.9392,14,3.433478,22.99998,1,167,37,28.9893,598,0,2.24385,1,8,1272.734,1,2,1.16182,3.43366,1,0,76,1,423.1062,1,19
"Dlg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg4",0,0,0,0,0,2,0,0,1.81783,0,0,0,0,0,0,0,0,9,5.99299,1,0,0.873559,1,0,0,0,4.11894,0,0.328216,0,0,5,0,1,2,0,0,1.810058,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg5",0,0,0,7,0,11.000005487,14,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,3,584.9997,0,0,0,0,0,0,0,0,0,0,2
"Dlgap1",2.15744,0,0,2.08814,4,2.62299,0,1,0,9.66208,3,1.00599,0,3,9.69738,0,0,3.39127,1.01029,0,1.0488,0,3.07822,2,0,1.0355,1.07564,0,0,1.01101,7.43196,0,3.04198,0,0,7.52783,10,0,8,1.00712,0,2.57979,1.8045,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1.11618,0
"Dlgap2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlgap3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlgap4",54,0,0,1,1,649.0542,85.99997,0,1,222.43,0,52.00004,292,3.87933,0,71.99997,2,19.0718,4,1008.624,114,1,0,0,1,271.000280847244,33.37166,11,1,106,0,79.690036,0,12,0,1,1,178.0001,0,18,0,135.016,0,0,0,3,0,16,1,1,482.999600088916,8,7.42466,0,1.22587,3,13,0,125.3126
"Dlgap5",2.97983,5.6835,3.39314,16.3155,0,40.0743,23.9825,0,4.82636,29.4997,25.5663,199.2345,58.8008,10.0133,36.2688,9.32195,15.8233,40.2366,38.23307,31.1383,2.42504,3.25308,1.11843,5.13621,221.6799,3.195,29.3283,11.4288,0,19.8924,1.08562,0,1.10494,4.53704,27.5084,19.6381,0.790504,0,18.2711,92.6402,7.72887,230.143,6.02966,14.78982,62.0669,2.30979,3.88127,9.3358,1.65975,35.4879,54.16587,0,1.44074,48.9673,5.97656,2.24268,20.94676,2.1681,8.38452
"Dlk1",0.5,0,70,0,1,15.000023,0,0.5,18.4999608,0,0.5,0,0.5,0,126.5,62.00009,1,23.49999,0,0,170.9996,0,24.500023,0,40.000040337997,6.5,0,0.5,0,19.999998,0,12.000034,5,0,0,34.49998,0.5,1.5,0,90,559.00026,2.5,0,11.999996,0,19.499999,26.999953,0,1,102.999938,0,0,6,37,25.00004,0,0,0.5,3
"Dlk2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dll1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Dll3",0,0,0,0,0,0,0,0,23.5913,1.26736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24264,0,0,0,0,1,1,1.28816,0,0,0,0,0,0
"Dll4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dlst",1,2,6,475,0,0,47,0,1,0,2,31,1,0,17,1,1,2,14,4,432,4,164,8,416,2,634,188,14,0,1,62,3,21,1,520,0,3,174,0,0,434,86,2,0,0,0,18,1,1,2,6,3,0,4,108,1,1,0
"Dlx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlx2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlx3",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlx4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlx5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlx6",0,5.39564,0.35925,2.2718,0.639755,28.4378,16.4005,2.28632,0.0112403,44.0686,0,5.2173,3.71616,0.351604,3.13659,0,1.93946,43.9948,1.52064,21.0427,2.07842,0,4.43963,5.74532,44.9542,2.60154,0,0,0,7.54104,0.00494285,31.7684,0,14.3474,1.01651,0,0,0,0,0,0,33.9509,4.41279,4.40541,1.72127,25.6241,0,5.4677,0,6.78712,25.1721,0,46.5838,44.3036,264.858,0.606179,10.6235,0,11.4231
