"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47"
"Mefv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megf10",0,0,0,0,0,0,1,0,0,0,0,0,0,323,0,0,0,0,0,0,40,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,125,0
"Megf11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2588,0,1330.2196,0,0,2,1,2.54564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Megf6",1.93436,1.92904,0,0,4,6,27.0437,1.92825,686.907,280,52.0193,17,8,54,6,3.84669,44.4564,0,0,0,0,75.33136,3,13,2,1,1,0,0,0,2,19,1,4,0,0,0,121.0704,1,2,0,6.78074,59.4476,18.70679,4.53499,0,7.91018
"Megf8",0,894,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2.25665
"Megf9",13.4509,0,1.97084,3,0,0,18,0,15.1501,0,3.13838,8.05348,6.22734,0,15.5906,1.00767,0,0,1,0,57.8475,74.533,0,17.3714,0,0,0,0,3.13635,2.9033,0,0,0,0,23,13.0132,13.9119,0,23.1131,0,0,51.8914,3.70686,1.45408,0,4.22418,0
"Mei1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mei4",0,1,2.22362,6,2.30932,0,0,3,0,0,0,0,1,0,3.20414,7.6687,1,10.0171,1.0261,1.00813,1.03018,3.17605,1,6,0,9.21402,0,0,15.7788,0,0,2,1,1,18.3455,7.60678,1.05383,17.7829,12,5.03384,9.90984,3.54662,0,0,0,2.04354,3
"Meig1",0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meikin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meiob",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meioc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meis1",30.9396,0,0,0,0,0,970.02119,0,0,0,0,106.049,0,567.329,36.1087,0,0,0,0,0,0,2.31876,0,38.1791,391.26158,0.00196225,0,0,7.65129,116.8035,0,0,0,0,173.7599,56.78364,42.2770840712,421.71,795.671499642,259.003,1.33507,0,0,0,14.0558,2.31529,2978.46
"Meis2",0,1.9999957104,100.000000027355,0,1.48493,0,0,10.9999826,34.12986,0,499.337117,60.0488218,106.9997641,555.428,12.0072021,34.9999703,32.735576,0.9999998245966,49.0046799,2.00000187,131.0001108,27.5035,0,134.964048343837,101.531482247,1.000000256,0.9999997372,0.99999972012,0,0,0,0,4.02434,0,0,124.013522,0,2.627647847,0,68.1119,29.456297939,72.434144,1.03965,39.64,0,77.0902464,0
"Meis3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,154.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melk",0,0,0,28,0,4.000005,1915,2.000001,0,0,0,0,0,0,0,0,1,0,0,1,398,28,0,0,0,0,8.57362,0,0,1,48,0,0,1,1,1,0,228,58,0,178,1,1,0,0,600,0
"Memo1",82,4,6,0,0,2,444,0,0,0,23,9,13,0,133,0,0,12,55,0,44,1,0,6,0,3,0,0,536,3,0,22,1,278,0,0,3,49,0,0,277,0,1,49,33,29,337
"Men1",10,0,0,74.8636,1,1,651.99956131,4.927739,0,0,0,0,383,169.99996126117,9,0,0,0,216.305,0,1,1,0,0,6.36564,6,0,0,0,0,25.00002,0,0,0,0,0,60,2.999999,0,8.999997273,0,0,8.83318,0,0,129.131,1
"Meox1",6,1,1337,1,0,0,130,0,0,728,0,0,1019,744,92,0,0,471,286,738,6,242,1,0,0,0,0,1,0,0,49,1,1,2,1,2,0,1,515,0,0,0,0,331,0,10,1
"Meox2",0,0,0,0,0,0,0,5,2,16,0,7,4,18,381,133,36,0,0,0,0,464,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,825,0,21,3,0,9,12,10,2
"Mep1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000000104687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mep1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mepce",0,6,1,0,0,0,45,1,58,0,0,0,0,557.6395,3,153,1,630.9999,218,132,104,1.11545,1,312.4838,2,0,0,0,11,14.99996,0,0,1,0,0,0,0,0,0,85,0,104,0,106,4,317.9998,0
"Mepe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mertk",0,495,1,0,3,6,1,0,2,0,0,2,0,0,0,0,1,0,1,2,0,0,2,1,0,0,0,445.443,0,0,4,11,1,1,1,0,0,0,2,7.95498,2,0,0,0,0,0,0
"Mesdc1",0,0,0,0,0,1,39,1,0,8,20,70,1,2,112,110,4,1,0,180,90,16,0,4,0,0,0,1,0,0,0,1,0,0,9,0,21,0,149,0,6,25,0,0,0,24,0
"Mesdc2",1,0,0,251,5,1.12624,118.52712,619,0,1,59,344,3,1687.9989,534.47,9.6571,0,39.0865,12.30403,1020,101,382.6826,128.7087,15.20202,13,238.01,10,11,463,568.386,1,0,3,3.000001,142.99963,5,1,3,48,1,1,133,1829,1,2,554.00024,2
"Mesp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesp2",0,15.1061,0,0,0,0,0,0,0,0,0,2,0,0,0,42,0,0,4,0,2.40651,8,0,0,0,12,0,2,0,0,0,0,0,0,7,0,0,4,0,0,0,7,0,0,0,4,0
"Mest",4861.22,15.8268,5040.5299,49.223691,37.9018,24.999992,2750.58379,37.7934,34.7976,3944.48,3550.69,6302.53,9348.047,124.471,13267.49992,5804.92,4646.78542,122.835,51.1854,10450.9,2706.932,4730.3379,36.4333,221.37766,517.954,436.606,153.917,20.67465,3252.3771,416.73672,943.07192,49.53500290486,78.6728,707.05811,8963.16643,41.4428,15.77,681.51497,7390.82695,571.811,925.459,3639.063,21415.78742,1992.7988,224.656,4902.66,2800.963
"Met",0,91,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23.99995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Metap1",2,0,5,33,0,3,414,0,0,1,1,0,0,2,108,37,3,1895,30,1,9,0,2,20,1,417,3,2,29,0,2,13,16,3,1,0,11,5,0,0,1,3,3,0,1,14,374
"Metap1d",0,9.19285,0,0.531757,0,0,512.095,1,38.205,0,0,0,6,6.8716,84.7098,0,183,0,37.3806,0,42.488,0,1,29.4464,0,32.9888,0,0,135,2.74392,0,0.704512,1.3255,0,0,47,188.745,0,0,1,18,0,0,2,5.20247,0,0
"Metap2",413.0205,73.3826,72.36594887,3.287445,366.467323191,13.70108,376.4481,657.0005,2051.4881,1.31332,203.2583,132.8031,221.595940924992,264.99458,633.2527516,56.99999,114.24760349953,2567.3307,601.73048198,31.42144,146.2472,264.9552,1466.57414,22.7873,277.40279,463.00027,19.952622,1222.57795983,476.95703160489,973.60170459098,3043,63,116.0000217771,3.41922030387,749.10404,625.2936,356.92761,254.54966,114.725,150.812398,85.04009,108.7538,89.0001,5,892.208,343.1687,5138.6881
"Methig1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metrn",0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,0
"Metrnl",86.00005,99,0,0,1,0,49,0,30,0,0,181,0,26,0,0,0,0,0,1,13,40,0,0,0,1,0,811,8,54,0,0,0,0,12,0,6,0,1,16,2,5,0,50,19.99996,0,64
"Mettl1",182.289,0,0,0,0,6.01021,577.557,28.8192,0,0,0,207.4873,14.67792,257.4039,0,4.44919,0,0,0,111.3144,0,21.4256,0.999998,24.24586,4.03532,3.26745,0,129.812,160.6048,15.2297,2.21252,5.22591,4.40617,4.71507,0,0,0,0,0,2.30899,0,34.10305,0,0,7.3819,0,14.9937
"Mettl10",0,1,0,0,0,0,779.236739,0,399.864,0,0,22.2674,0,1,147.2978,0,0,0,1,39,2.000002,10.9301,0,226.999,0,0,0,0,3,0,863,0,0,0,141.78,28.7255,36.3141,1.03556,0,0,17,0,0,1,0,146.253,115.82
"Mettl11b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mettl13",12.8451,0,0,0,0,0,0,0,0,0,0,0,0,2.000002,13.3841,0,0,0,0,0,2,4.29814,0,46.2684,0,0,0,0,0,2.02919,0,0,0,0,0,0,6,14.0378,0,0,0,0,0,0,0,0,0
"Mettl14",1,0,0,21,1.02999,2.999997,2.9655,237,38.01141,0,0,0,0,1.12223,0,3.07158,0,259,1,1,1.41883,0,1,28.83175,0,1.02249,0,1.0059,1.26253,0,2.87283,2.02569,3,1,0,0,39,2,0,1.70394,1,0,0,0,4.40631,0,4.27305
"Mettl15",0,35,0,0,0,2,0,0,0,0,0,13,0,0,1,0,0,562.0005,20,11.4484998914,15,0,0,0,1,6.51904,0,0,0,0,128,4,3.88186,0,0,0,0,0,2,1.27619,0,0,0,229,2.23844,0,0
"Mettl16",9.18039,9.007223464,48.8874,850.743,0.000291844,2.45796,16.5606,0,14.954462972,2.0908,1.26326,2.7323865643,2.9199935695,1.0197,9.92548,21.0424,12.8091,0,2.95761,963.9026,6.11132,331.6474,9.02172,44.4984,777.743,2.41167,0,8.37852e-05,7.69811034,26.14608,8.09057,2.70709,3.64484,0,42.17039904,0,14.096,14.781084453,0,2.63379,25.635438816,5.40709,2.10886,1.5689,13.6911,94.3154,2.2505
"Mettl17",0,1,0,45.151,133.68449,4,4,0,30.8041,0,0,0,9.54493,0,49.7996,0,0,0,0,0,0,0,4,0,281.915,0,0,0,0,13.76449,0,7.999996,0,0,145.6763507795,0,0,0,2,0,0,0,0,7.701955,0,12.0726,0
"Mettl18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mettl2",0,333.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.395,0,172.372,0,462.168,0,0,0,0,0,0,0,0,0,6.48095,0,0,0,0,0,0,0,0,8.44772,0,0
"Mettl21a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,370.95,0,0,0,0,1,0,0,1.14596,0,0,0,0,0,1,0,0,0,0,0,0,43,603,9,1,0
"Mettl21b",29.613,85.6038,2.23435,27.218,12.2291,7.6212,138.993,16.6632,23.0644,28.7012,25.7429,12.2716,3.75612,28.4922,34.5681,162.775,38.5343,50.3508,14.4966,5.59617,21.5046,59.4065,78.3348,12.9143,54.3122,91.528,6.81453,0,69.1731,11.1925,204.251,11.9535,22.4105,0,453.081,44.9935,48.0447,69.9211,52.3721,22.8026,19.0317,20.6624,0,15.4408,26.6964,28.6817,73.8228
"Mettl21c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9719,0,0,0,0,0,0,0,0,0,0
"Mettl21e",0,1.04955,0,0,2.47288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mettl22",1,2.000004,0,0,23.99998,0,0,0,0,0,0,0,0,0,0,0,0,0,82,159.8084,2.000001,0,2,31.0032,621.9995,7.11629,10,0,0,0,0,0,0,0,0,161.56106,48.36109,0,40.8827,0,1,150.7069,0,0,1.44821,4.0000031,0
"Mettl23",0,0,0,647.455,8,1,0,0,2.49789,0,0,0,0,0,298.9105,272.523,0,0,62.1733,0,8.19992,1,0,23.5967,222.59700444096,338,0,0,203.054,46.9642,0,3.0000000238438,14,0,194.191,0,106.97,0,0,1,2.62878,0,0,251,310,0,133.764
"Mettl24",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mettl25",0,0,0,0,0,0,18,7,0,0,0,2,0,0,0,13,0,0,0,0,0,26.07,1,0,0,0,0,0,0,0,0,5,0,1,0,16,0,0,0,1,0,0,0,0,0,0,1
"Mettl26",0,453,277,3.000002,6.48857,8,5,3,3,11,5.45341,1.62351,4,4,306,0,7,648.626,82.14231,1,1,31.02228,4,0,1,9,3.999998,0,6.39764,0.669712,0.596209,0,6,9.99999624,0,327,70.58631,0,3,0,4,11.82259,765.382,2,259.711,29.31298,29
"Mettl3",43.9322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249.813,0,0,21.2758,1,0,2.31485,0,2.37916,0,0,0,0,4.08977,0,0,0,66.2696,14.0819,0,4.20217,0,0,0,0,246.594620944,3.239,0,0,0
"Mettl4",0,1,0,0,91,0,0,619,0,0,0,0,0,0,85,0,0,0,1,0,0,0,2,0,0,0,0,0,54,0,0,0,0,0,0,1,3,0,40,0,0,0,124,22,0,280,0
"Mettl5",0,0,0,0,0,0,0,0,1.04214,2.07137,164.798,0,54.3913,0,0,0,0,424.456,26.4236,0,0,0,0,0,21.3691,19.7778,0,3.36005,0,0,0,0,0,0,0,72.542,135.291,0,3,77.6183,59.1887,38.1758,468.898,1.01465,118.746,170.621,303.811
"Mettl6",0,2,1,0,1,0,26,0,0,1,0,20,1,1,0,0,0,1,1,713,50,0,0,3,0,565,0,0,36,2,0,350,29,1031,46,4,74,28,0,65,0,2,2,16,1,175,0
"Mettl7a1",0,0,0,0,12,0,0,0,0,1,0,0,0,39,0,31.0567,0,0,0,0,0,0,0,58,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mettl7a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mettl7a3",15.8822,31.7182,13.4808,4.31358,1.01017,0,12.7427,0,6.04851,6.47724,1.08679,8.28126,13.903,1.13899,34.5901,1132.03,3.17568,3.08614,10.9036,3.41968,9.41268,39.2806,2.03506,1.80147,3.04311,80.225,0,0,4.15733,0,1.20141,39.5848,1.64808,0,4.72798,6.0818,12.6432,15.4956,1.14335,1.47476,14.2144,7.1621,4.15141,3.76673,10.956,37.5472,2.07825
"Mettl7b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mettl8",0,1,6.1193,2235,2.04601,1,0,1,0,0,1,0,1.17184,2,0,1.54301,23.669,0,16.13012,0,10.6066,3.90134,0,1,1,4.3058,2,328,7.86418,3.28003,0,1.04768,0,0,1,6.3409,0,0,2.16231,0,1.11447,0,2.0775,0,4.46598,4.61593,0
"Mettl9",122,45,0,0,0,2,229,633,38,0,0,46,15,38,292,271,0,1,98,1,66,5,10,19,11,0,3,115,208,58,1,0,1,11,249,2,40,0,114,2,24,0,8,7,0,78,0
"Mex3a",6.00652,0,93.8321,0,1.01888,5.08754,3.67951,4.49005,0,0,0,0,6.3556,3.29347,0,0,52.1692,0,2.20265,1.08796,1.12003,53.5691,4.05229,1.0035,29.6014,11.745,0,1.00963,2.02029,34.6113,0,5.62183,2.02158,0,0,0,0,77.3745,1.00015,0,2.12355,0,0,107.947,138.465,145.996,0
"Mex3b",0,0,0,0,0,0,59,0,1,0,0,0,0,0,1,100,1,0,0,0,54,0,1,9,0,0,2,0,0,0,0,0,0,1,17,0,44,0,0,1,292,0,0,0,0,16,0
"Mex3c",0,1243,2,1,2,3,0,16,587,0,283,1,349,10,93,1,1,179,430,5,25,291,326,16,30,0,4,0,33,2,2,3,6,0,39,1,509,176,658,1,219,1,3,1285,1,26,923
"Mex3d",0,0,0,0,0,0,0,0,0,0,0,22.99999,0,0,0,0,0,0,0,0,113.000000462176,0,0,0.99999952,0,0,0,0,0,0,52,0,0,0,20.999956,0,1.0000002,0,0,0,0.9999999,0,0,3.9999982,0,0,0
"Mfap1a",195.943,90.297,0,10.1489,67.9446,0,7.04366,301.921,4.15224,3.57699,0,65.7863,0,378.869,297.015,4.19346,1.85084,2.01986,153.601,2.11561,57.1807,291.305,2.22926,5.79668,357.539,0,16.9335,18.5378,195.544,176.16,3.10837,1.73775,0.312889,3.10082,144.005,146.518,3.71849,107.089,2.07843,364.171,0,73.6562,384.975,0,141.409,70.1927,0
"Mfap1b",23.2155,213.822,0,1007.24,69.5055,2,180.47,951.983,59.6862,0,3,694.261,0,649.298,225.856,0,1.50611,10.0393,132.371,18.5017,71.3576,126.902,2.84875,13.4916,136.608,76,66.4546,251.068,199.86,286.664,0,123.324,1.88343,0,458.387,11.3466,35.5459,343.107,0,17.7534,14,180.908,202.866,47,252.285,110.941,19
"Mfap2",3008,4,6111,3,1,3.35471,1183,14,1592,9,192,1221,3216,10630,2096,1.95041,5,4094,986,1.94042,1057,2344,3,328,0,6.84975,1,1.6172,618,15.00003,2086,8,0,12.72702,429,1.63808,598,918,2,3.27268,293,16,185,1280.33,3.30024,2382,8
"Mfap3",91.00002,651.0002,4.999999,0,20.00001,0.9999996,1721.0000001185,1.999995,264.0517,243.9998,2.000002,107.01403,900.9998,49.01555,8.001022,4.999999,71.99999,2150.9985,5.001505,4.999999,35.00003,151.9996,0.9999996,40.000011,5.000004,1.000471,11.000007,4.000003,187.0548,21.00002,0,0,4.000004,1.999995,1.0000005,62.99996,38.00617,20,1.0000003,0,120.99976,42.99996,147.00011,8.000003,30.02702,52.08103,7.000004
"Mfap3l",0,0.325593,0,0,10.0117,0,11.9442,0,0,0,0,1.00159,0,0,0,0,0,0,0,0,0,11.0354,0,7.20194,1,0,0,0,0,9.02448,0,0,0,0,4.00644,0,7.9346,221.886,0,0,0,11.1117,3.00194,0,17.4867,1.63146,0
"Mfap4",132.51354,1,1.16077,2,2.000003468,0,4.0000020018,0,2263.0024,6.99943,6.95264,1,1313.33,2298,1.39282,1,2.000000295673,2390.96,487,3,4,1001,1.1815,0,0,4,1,1,0,2.77524,95.9649,0,0,3,1.618725,1.15987,0,1028,1.06801,0,1,3,1,1211.99,1,1,0
"Mfap5",2035.0016,2,0,1,1,1,3.000004,0,2,2,414.9996,7354.99473,2556.99856,4,3,1.999996,1,0,1,2.000004,0,759.999763,0,2.000001,2,0,2.000004,3.000002104947,4.000003,0,0,1,1,0,2,2,1000.0003,8,1,1.999996,70.999972212,2,719.9997,1,5.000007,531.999767,0
"Mff",390.02733,1.282477,610.0001,0,0,0,2,117.8624,112.1517,3,210,1026.1883,721.9754157,119,219.5122,22,0,38.6326,38.59733025672,63.015640290276,205.956,95.56,0,48,461.31701,0,2,200.96478,6,211.1483,14,14.00005,0,0,1043.0003,574,134.00002,8,85.35928,2,1,174.00001,36,346.00041,412.73505002539,0,565.9996
"Mfge8",1371,0,128,2,92,1,297.0005,479,133,1,2,1394.997,1041,5,1317,48,2,88,1,173,651,742,23,68,1,11,8,0,497,4,3,2230,1,1,115,116,1,1088,3,7,12,0,1,0,255,834,1
"Mfhas1",108,4,1,8,1,2,0,5,2,0,1,300,1,9,213,0,3,0,459,52,19.6063,192,1,468,174,0,12,13,8,9,3,24.1746,1293,1,511,355,75,417,5,8,15,305.247,0,0,205,1,0
"Mfi2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfn1",14.1743,22.40944,15.24306,12.50175,7.77959,5.184408,29.28732,40.79956,46.5777,6.98741,252.29475,24.9552,10.28826,4.10923,13.10522,119.8488,4.37376,12.98865,42.66887,61.63551,110.71777,49.4285,53.01713,73.91307,40.7052,504.891,7.29774,4.03412,24.42423,22.24619,4.48172,14.8411,39.4199,143.0942,63.82792,674.1238,119.6207,63.3093,234.1416,11.9912,14.60007,9.62496,7.95695,58.5877,696.598,23.9916,1402.7574
"Mfn2",948,135,5,7,22,11.000003,12,41,828,286.000000013283,2,3,1106,49,20,53,67,2,56,69.99995,126,0,2,202,432.9998,1180.997461,27,0,203,44,4.3094,142,277.0003,127,1360.9197,392.00030447,159,12.00003,2.000003,196.00010265,112,156,97,211,454.999880011862,0,605.0004
"Mfng",0,0,0,0,0,0,0,0,0,0,0,0,0,1.33796,435,0,0,0,0,0,1,280.904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,3,49,0,0,0,0,1
"Mfrp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd1",0,348,0,0,0,1,0,0,72,0,321,0,0,0,5,29,5,0,178,0,129,215,0,0,1.24218,0,0,0,0,1,0,1,47,4,22.2365,0,0,0,18,0,4,0,0,0,0,0,5
"Mfsd10",0,231.3318,0,0,0,0,0.634607,0,0,0,0,150.767,0,0.548063,61,82,2,0,0,0,26.000022,0,0,0,0,0,0,1,0,0,0,0,1.47969,0,0,0.68219,0,268.0002,0,0,0,0,0,0,0,109,1
"Mfsd11",27.2621,31.658,4.52511,1.41522,7.37098,0,253.926,9.63859,14.0031,0,190.582,593.3163,2.95087,0,10.2213,15.899,5.56593,3.04985,0,4.41474,137.131,25.4957,14.2575,0,10.9428,120.246,1.25855,0,6.49863,0,0,9.67852,8.70678,1.96102,49.42899,28.5376,0,225.269,9.43801,28.6471,21.8836,0,13.7071,28.5689,18.2659,180.135,5.04575
"Mfsd12",0,58,0,0,1,2,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,10,16,0,0,87.6003,0,0,1,1,66,0,0,0,0,0,0,30,0,0,0,0,0,0,0
"Mfsd13a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd13b",0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Mfsd14a",220.314,13.7288,71.6711,2,3,5,531,0,4,0,0,0,0,0,242,102,2,1,136,5,83.1234,0,0,3,1.25202,28,1,102,117.581,1,4,3,2,3,1005,35,33,60,2,0,3.8046,0,274,0,0,2,1.22535
"Mfsd14b",95.000004361,83,0,0,0,0,1,1,4.39546,103.7303,0,18,1,12.53235,131,103.672,16.3885,217,5,2,5,65.3241,0,3.50893,8,1,8,18,0,0,0,31,32,0,33,12.8206,137,0,1,1,0,1,61.2265,8.19312,1.16951,17.8788,1.03545
"Mfsd2a",0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd3",0,0,0,0,0,0,0,0,0,0,0,639,691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"Mfsd4a",104.724288,0,1.56988,1,0,2.58586,124.1971,3,10.63281,6.04001,1,115.6353,0,352.5632,49.5958,180.2608,25.0716,16.1488,1.47562,2,41.3296,77.0328,0,20.0157,0,33.1204,6.25196,1,7.00892,13.6306,0,4.72626,45.1581,2.41551,1,43.9827,122.9113,7.91924,144.1447,7.42904,9.49564,180.6657,202.11779,848.356,6.88608,22.04012,2.3375
"Mfsd4b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd4b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd4b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd4b4",0,1.00000008,0,0,0,0,0,0,0,0,90.000008,0,0,0,32.999979,0,0,0,0,0,0,14.999957,0,0,0,0,0,0,0,0,0,0,0,0,82.999955,0,0,0.99999994,0,0,8.999997,0,0,0,95.00002,0,0
"Mfsd4b5",0,4.19299,3.42465,0,1.3813,0,0,27.9535,0,0,10.2975,4.92175,0,2.04757,0,1.20571,0,0,0,0,1.45161,1.33249,0,0,0,0,0,0,7.5477,6.96443e-05,0,0,1.17313,0,1.7025,2.65251,4.10452,2.63173,0,6.83227,0,3.37935,2.00195,0,0,2.73285,0
"Mfsd5",14,0,0,1,0,0,0,1,0,0,1,53,4,2,9,0,2,7,8,2,124,2,8,310,23,25,0,13,1,0,937,0,0,0,3,0,10,124,2,0,0,5,693,2,49,41,0
"Mfsd6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.499,0,0,0,0,0
"Mfsd6l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
